Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Mega Jasa Timur, CV","Kelurahan Fatululi Rt.16/05, Kupang, Nusa Tenggara Timur",,,"Reservoir,tank,vat&similar,of Iron/steel ,cap.>300,Other Bodies For The Vehicles Transport Of Persons,Males Wear, Not Underpants/briefs/night","Reservoir,tank,vat&similar,of iron/steel ,cap.>300,Other Bodies For The Vehicles Transport Of Persons,Males Wear, Not Underpants/briefs/night"
"Mega Timor Perkasa, CV","Jl. Mohamad Yamin - Rinbesi - Atambua, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Oth Motor Coach,bus/minibus,for >=10 P, G.v.w >=,Other Motor Cars, > 3000 Cc,not Ckd,oth Than 4","Other hydraulic cements,Oth Motor Coach,bus/minibus,for >=10 P, G.v.w >=,Other Motor Cars, > 3000 Cc,not Ckd,oth Than 4"
"Merlin, Tk.","Jl. Sudirman No. 46 Atambua, Belu, Nusa Tenggara Timur",,,"Printing Inks Other Than Uv Curable Inks- Black,Other Including Parts,Folding Cartons,boxes&cases,of Non-corru Gated","Printing inks other than uv curable inks- black,Other Including Parts,Folding Cartons,boxes&cases,of Non-corru Gated"
"Mitra Bangunan, Ud.","Jl. Yos Sudarso Alak Kupang, Kupang, Nusa Tenggara Timur",,,Other Hydraulic Cements,Other hydraulic cements
"Mitra Bangunan, Ud.","Jl. Yos Sudarso, Alak, Kupang, Nusa Tenggara Timur",,,"New Pneumatic Tyres,of Rubber Of A Kind Used On Mo,Other Hand Tools Of A Kind Used In Agriculture,,Other Paints & Varnishes (incl Enamels& Lacquers)","New pneumatic tyres,of rubber of a kind used on mo,Other Hand Tools Of A Kind Used In Agriculture,,Other Paints & Varnishes (incl Enamels& Lacquers)"
"Multi Kreatif Mandiri, PT","Jl. Timor Raya-lasiana-kelapa Lima Kupang-ntt, Kupang, Nusa Tenggara Timur",,,"Other Motor Cars, > 3000 Cc,not Ckd,oth Than 4 Wd,,Oth Motor Car,no Sedan,1000-1500 Cc,not,Oth Motor Coach,bus/minibus,for >=10 P, G.v.w >=","Other motor cars, > 3000 cc,not ckd,oth than 4 WD,,Oth Motor Car,no Sedan,1000-1500 Cc,not,Oth Motor Coach,bus/minibus,for >=10 P, G.v.w >="
"Mutiara Timur Star, Ud.","Jl. Timor Raya Kel. Pasir Panjang Kupang - Ntt, Kupang, Nusa Tenggara Timur",,,"Motocross Motorcycles, With Recipro Int Combust Pi","Motocross motorcycles, with recipro int combust pi"
"Naga Mas Jaya, Ud.","Pasar Baru - Betun, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Mineral Waters,Uncooked Pasta, Not Stuffed/otherwise Prepared,","Other hydraulic cements,Mineral Waters,Uncooked Pasta, Not Stuffed/otherwise Prepared,"
"Naga Mas, CV","Jl. Meobekunatun Rt.05/01 - Atambua, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Carbon,oth Than Of Circular Cross- Section:,Other Motor Cars, > 3000 Cc,not Ckd,oth Than 4","Other hydraulic cements,Carbon,oth Than Of Circular Cross- Section:,Other Motor Cars, > 3000 Cc,not Ckd,oth Than 4"
"Nam, CV","Jl. Siliwangi N0.17, Kupang, Nusa Tenggara Timur",,,"Ice Cream And Other Edible Ice, Whether Or Not Con,Refri-frez,fitt With Separate External","Ice cream and other edible ice, whether or not con,Refri-frez,fitt With Separate External"
"Nirichvy, Ud.","Jl. Beringin Lasian, Kupang, Nusa Tenggara Timur",,,"Garlic,oth Than Bulbs For Propagation, Fresh/chill,Shallots,oth Than Bulbs For Propagation,,Seed Of Ground-nuts, Whether/not  Shelled/broken","Garlic,oth than bulbs for propagation, fresh/chill,Shallots,oth Than Bulbs For Propagation,,Seed Of Ground-nuts, Whether/not  Shelled/broken"
"Nusantara Jaya, CV","Jl. Sukamo Hatta Rt 42 / 05, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Powder Of Pig Iron, Spiegeleison, Iron Or Steel,Zinc Not Alloyed Containing By Weight 99.99% Or","Other hydraulic cements,Powder Of Pig Iron, Spiegeleison, Iron Or Steel,Zinc Not Alloyed Containing By Weight 99.99% Or"
