Company Name,Deskripsi,Address,Telephone Number,Location
6994. TK Dhammasavana,,Jl Padamulya VI 176 B Jakarta,( 021 ) 6300966,Tk dan kelompok bermain
6995. TK Dawah Islam,,Jl Utan Kayu Gg Randu 1 RT 001/02 Jakarta,( 021 ) 8583252,Tk dan kelompok bermain
6996. TK Darussalam,,Jl Ciputat Raya Gg Hj Romlah RT 005/02 Jakarta,( 021 ) 7696779,Tk dan kelompok bermain
6997. TK Darussaadah,,Jl Poncol Jaya 41 RT 012/04 Jakarta,( 021 ) 5277301,Tk dan kelompok bermain
6998. TK Darun Nisaa,,Jl Tanjungpura V 22 RT 005/05 Jakarta,( 021 ) 5455637,Tk dan kelompok bermain
6999. TK Darul Ulum,,Jl Stasiun Cakung Km 4/46 Jakarta,( 021 ) 4803485,Tk dan kelompok bermain
7000. TK Darul Muawanah,,Jl Cipulir II 24 Jakarta,( 021 ) 7258938,Tk dan kelompok bermain
7001. TK Darul Maarif,,Jl Madya Kebantenan 14 Jakarta,( 021 ) 4406460,Tk dan kelompok bermain
7002. TK Darul Ikhwan,,Jl Tj Duren Utr VII 241 Jakarta,( 021 ) 56964644,Tk dan kelompok bermain
7003. TK Darul Husna,,Jl Pertengahan 1 Jakarta,( 021 ) 8416306,Tk dan kelompok bermain
7004. TK Darma Satria,,Kompl Teluk Indah Bl Q/24-26 Jakarta,( 021 ) 6695304,Tk dan kelompok bermain
7005. TK Damai,,Jl Kelapa Dua 7 RT 014/03 Jakarta,( 021 ) 44833678,Tk dan kelompok bermain
7006. TK Dalian,,Jl Dara Raya Bl DG/1-2 Villa Pamulang Jakarta,( 021 ) 74704038,Tk dan kelompok bermain
7007. TK Dakwah Islamiyah,,Jl Bhineka 23 Jakarta,( 021 ) 8514703,Tk dan kelompok bermain
7008. TK Dahlia,,Jl Dahlia 88-A Kompl Pondok Pucung Indah I RT 003/04 Jakarta,( 021 ) 7454508,Tk dan kelompok bermain
7009. TK Daarul Rahmah,,Jl H Sinen 44 Jakarta,( 021 ) 7818352,Tk dan kelompok bermain
7010. TK Cordova,,Jl Bunga Rampai IX Gg I Bl 24/50 Perumnas Klender RT 004/06 Jakarta,( 021 ) 86600886,Tk dan kelompok bermain
7011. TK Club Neft Indonesia,,Jl Teuku Umar Kompl Bintaro Jaya Sktr VII Bl FA-3/45 Jakarta,( 021 ) 74862053,Tk dan kelompok bermain
7012. TK Citra Kresna,,Jl Mandala V 25-A RT 007/03 Jakarta,( 021 ) 8011566,Tk dan kelompok bermain
7013. TK Citra Kasih Sejahtera,,Kompl Duta Garden Bl G-7/45 Jakarta,( 021 ) 5400768,Tk dan kelompok bermain
7014. TK Citra Indonesia,,Jl Puter VI Kompl Bintaro Jaya Sktr V Bl EF-1/27-29 Jakarta,( 021 ) 7358862,Tk dan kelompok bermain
7015. TK Citra Az Zahra,,Kompl Taman Alfa Indah Bl F/7 Jakarta,( 021 ) 5857976,Tk dan kelompok bermain
7016. TK Citra Ananda,,Kompl Taman Alfa Indah Bl F/7 RT 008/03 Jakarta,( 021 ) 58905727,Tk dan kelompok bermain
7017. TK Citra,,Jl Kemuning Gg H 3 Jakarta,( 021 ) 8504030,Tk dan kelompok bermain
7018. TK Cita Buana,,Jl RS Fatmawati 52 Wisma Subud Jakarta,( 021 ) 7696560,Tk dan kelompok bermain
7019. TK Cindrawasih,,Jl Winong 7 RT 002/04 Jakarta,( 021 ) 73448245,Tk dan kelompok bermain
7020. TK Cicilia,,Jl Ancol Slt II 17 Jakarta,( 021 ) 6409187,Tk dan kelompok bermain
7021. TK Chatswood,,Jl Pluit Tmr Raya Jakarta,( 021 ) 6606293,Tk dan kelompok bermain
7022. TK Charitas,,Jl Swakarya Bl C/13-A Jakarta,( 021 ) 7656171,Tk dan kelompok bermain
7023. TK Chandra Naya,,Jl Jembatan Besi II 26 Jakarta,( 021 ) 6301406,Tk dan kelompok bermain
7024. TK Chandra Kusuma,,Jl Vikamas Slt V Bl H-1/1 Jakarta,( 021 ) 5448202,Tk dan kelompok bermain
7025. TK Chandra Jaya,,Jl Sawah Lio IV 8-B Jakarta,( 021 ) 6341402,Tk dan kelompok bermain
7026. TK Chandra,,Jl Mortir Kompl Kodam 7 Jakarta,( 021 ) 4265727,Tk dan kelompok bermain
7027. TK Ceria,,Jl Bukit Kemiri IV Kompl Bukit Cengkeh II Bl A-6/2 Jakarta,( 021 ) 8702281,Tk dan kelompok bermain
7028. TK Cendrawasih,,Jl Anggrek Cendrawasih Raya K-21 RT 001/03 Jakarta,( 021 ) 5359294,Tk dan kelompok bermain
7029. TK Cenderawasih III,,Kompl Deplu RT 003/1 Jakarta,( 021 ) 7371826,Tk dan kelompok bermain
7030. TK Cenderawasih II,,Jl H Abdul Majid Dlm 3 Jakarta,( 021 ) 75903423,Tk dan kelompok bermain
7031. TK Cempaka Wangi,,Jl Cempaka Putih Brt II B 24 RT 004/03 Jakarta,( 021 ) 42803839,Tk dan kelompok bermain
7032. TK Cempaka Jaya,,Jl Pangkalan Asam 1 Jakarta,( 021 ) 4213734,Tk dan kelompok bermain
7033. TK Cempaka,,Jl Suwiryo 16 Jakarta,( 021 ) 3106431,Tk dan kelompok bermain
7034. TK Caroline,,Jl Sunter Mas Brt Raya 1 Jakarta,( 021 ) 6503962,Tk dan kelompok bermain
7035. TK Carina Sayang,,Kompl Carina Sayang Bl Z/6-9 RT 004/10 Jakarta,( 021 ) 5816515,Tk dan kelompok bermain
7036. TK Cahyana,,Jl Pam III 27-28 Jakarta,( 021 ) 4212790,Tk dan kelompok bermain
7037. TK Cahaya Sakti,,Jl Otto Iskandardinata I 11 Jakarta,( 021 ) 8507577,Tk dan kelompok bermain
7038. TK Cahaya Pelita,,Jl Penggilingan Baru I 24 RT 009/03 Jakarta,( 021 ) 8412065,Tk dan kelompok bermain
7039. TK Cahaya Kudus,,Jl Muara Karang Bl B-9 Slt/129-131 Jakarta,( 021 ) 6603416,Tk dan kelompok bermain
7041. TK Cahaya Bunda,,Jl Mangga Besar VIII 5 Jakarta,( 021 ) 6398869,Tk dan kelompok bermain
7042. TK Cahaya Balita,,Jl Waja V 4 Jakarta,( 021 ) 4208940,Tk dan kelompok bermain
7043. TK Bustanul Haqq,,Jl Raya Centex Gg Kramat 29 RT 012/10 Jakarta,( 021 ) 8715116,Tk dan kelompok bermain
7044. TK Bunga Rafflesia,,Jl H Kamad 38 Jakarta,( 021 ) 8617867,Tk dan kelompok bermain
7045. TK Bunga Hati Bangsa,,Jl Kapuk Indah Kompl Villa Kapuk Indah Bl G-1 Jakarta,( 021 ) 5414529,Tk dan kelompok bermain
7046. TK Bunga Bangsa,,Jl Dongkal Raya 69 RT 001/03 Jakarta,( 021 ) 8745505,Tk dan kelompok bermain
7047. TK Bunda Maria,,Jl Singgalang Raya 17 Jakarta,( 021 ) 8721542,Tk dan kelompok bermain
7048. TK Bunda Hati Kudus,,Jl Kb Jeruk Raya 19 Jakarta,( 021 ) 5359330,Tk dan kelompok bermain
7049. TK Bukit Sion,,Jl Meruya Ilir 114 Kompl Taman Kebon Jeruk Bl C-2/19 Jakarta,( 021 ) 5868544,Tk dan kelompok bermain
7050. TK Bukit Mulia,,Jl Pluit Karang Sari VI Bl O-7 Utr/1-10 Jakarta,( 021 ) 6620923,Tk dan kelompok bermain
7051. TK Budi Setya,,Kompl Pulo Gebang Permai Bl G-4/21 RT 004/12 Jakarta,( 021 ) 48701361,Tk dan kelompok bermain
7052. TK Budi Pekerti,,Jl Tambora IV 88 Jakarta,( 021 ) 6243843,Tk dan kelompok bermain
7053. TK Budi Mulia 2,,Jl Ir H Juanda 8 Jakarta,( 021 ) 7495205,Tk dan kelompok bermain
7054. TK Budi Mulia,,Jl HOS Cokroaminoto 1 Jakarta,( 021 ) 7304142,Tk dan kelompok bermain
7055. TK Budi Luhur,,Jl Jombang Raya 77 Jakarta,( 021 ) 7300077,Tk dan kelompok bermain
7056. TK Budi Harapan II,,Jl Cidodol Gg Panjang 2 RT 002/13 Jakarta,( 021 ) 7232529,Tk dan kelompok bermain
7057. TK Budi Harapan I,,Jl Arteri Permata Hijau Gg Setia 1-2 RT 002/09 Jakarta,( 021 ) 5357069,Tk dan kelompok bermain
7058. TK Budi Harapan,,Jl Kesenian RT 002/11 Jakarta,( 021 ) 86610847,Tk dan kelompok bermain
7059. TK Budi Darma,,Jl Cipinang Muara 11 RT 005/05 Jakarta,( 021 ) 8505145,Tk dan kelompok bermain
7060. TK Budi Bhakti,,Jl Tebet Tmr Dalam III-H 8 Jakarta,( 021 ) 8311795,Tk dan kelompok bermain
7061. TK Budi Bakti,,Jl Nurul Iman 5 RT 006/04 Jakarta,( 021 ) 8612977,Tk dan kelompok bermain
7062. TK Budi Asih,,Jl Sultan Agung 66 Jakarta,( 021 ) 8303954,Tk dan kelompok bermain
7063. TK Budi Agung,,Jl Bandengan Utr Terusan 95 Bl F/3-12 Jakarta,( 021 ) 6696420,Tk dan kelompok bermain
7064. TK Budi,,Jl Jembatan Besi II 44 RT 005/03 Jakarta,( 021 ) 6593674,Tk dan kelompok bermain
7065. TK Budhis Tri Ratna,,Jl Thalib I 35-37 Jakarta,( 021 ) 6599222,Tk dan kelompok bermain
7066. TK Budhi Asri,,Jl Mampang Prapatan VIII-D 28 Jakarta,( 021 ) 7995232,Tk dan kelompok bermain
7067. TK Budhi,,Jl Jembatan Besi II 44 Jakarta,( 021 ) 6315623,Tk dan kelompok bermain
7068. TK Budhaya 2 ST Agustinus,,Jl Rd Inten Perumnas Buaran Bl L Jakarta,( 021 ) 8618788,Tk dan kelompok bermain
7069. TK Budhaya 1 ST Agustinus,,Jl Cipinang Kebembem I 25 Jakarta,( 021 ) 4758543,Tk dan kelompok bermain
7070. TK Budaya I,,Jl Srengseng Sawah 12 RT 005/07 Jakarta,( 021 ) 7270819,Tk dan kelompok bermain
7071. TK Budaya 2,,Gg H Sibi 12 Jakarta,( 021 ) 7875833,Tk dan kelompok bermain
7072. TK Budaya,,Jl Dermaga Baru 48 RT 008/16 Jakarta,( 021 ) 8613152,Tk dan kelompok bermain
7073. TK Buana,,Jl Mimosa Raya Bl D/1 Jakarta,( 021 ) 7973140,Tk dan kelompok bermain
7074. TK BPS K V,,Jl Bunga Rampai III 22 Perum Klender Jakarta,( 021 ) 8609461,Tk dan kelompok bermain
7075. TK BPS K Pembangunan 3,,Jl Cipinang Jaya CC/44 Jakarta,( 021 ) 8578226,Tk dan kelompok bermain
7076. TK BPK Penabur,,Jl Pembangunan I 23 Jakarta,( 021 ) 6346330,Tk dan kelompok bermain
7077. TK Bonky,,Jl Raya Pd Duta 16-A RT 002/28 Jakarta,( 021 ) 87704228,Tk dan kelompok bermain
7078. TK Boncel,,Jl Boncel 5 RT 001/06 Jakarta,( 021 ) 7864048,Tk dan kelompok bermain
7079. TK Bobo,,Jl Manggis Raya II Bl A/2-A Jakarta,( 021 ) 7545600,Tk dan kelompok bermain
7080. TK Blossom,,Jl Mampang Prapatan VIII 35 RT 003/02 Jakarta,( 021 ) 79195207,Tk dan kelompok bermain
7081. TK Bintang Timur,,Jl Taruna Jaya II Gg Anggrek I 6-7 RT 019/02 Jakarta,( 021 ) 4211740,Tk dan kelompok bermain
7082. TK Bintang Pancasila,,Jl Mardani Gg Murdai I 23 RT 007/13 Jakarta,( 021 ) 4208292,Tk dan kelompok bermain
7083. TK Bintang Kejora,,Jl Kihajar Dewantoro 11 Jakarta,( 021 ) 7433026,Tk dan kelompok bermain
7084. TK Bintang Kecil,,Jl Tebet Brt Dalam VIII 19 Jakarta,( 021 ) 83793931,Tk dan kelompok bermain
7085. TK Bina Tunas Bangsa,,Jl Pluit Sakti IV 2-4 Jakarta,( 021 ) 6614008,Tk dan kelompok bermain
7086. TK Bina Putra,,Jl Prima 12 BL Jakarta,( 021 ) 5553389,Tk dan kelompok bermain
7087. TK Bina Nusantara,,Jl Sultan Iskandar Muda Kav G-8 Jakarta,( 021 ) 7243663,Tk dan kelompok bermain
7088. TK Bina Kusuma,,Kompl Citra Garden I Bl I/3 Jakarta,( 021 ) 5416359,Tk dan kelompok bermain
